"","V1","ABIES","ACERX","ALNUSX","ANACARDI","APIACEAE","AQUIFOLI","ARCEUTHOBI","ARECACEAE","ARTEMISIA","ASTERX","BETULA","BORAGINACEAE","BRASSICACEAE","CAMPANULACEA","CAPRIFOLIA","CARYOPHYLL","CEANOTHUS","CHENOAMX","CORNUS","CORYLUS","CUPRESSA","CYPERACE","DODECATH","DRYAS","ELAEAGNX","ERICACEX","ERICALES","ERIOGONUM","EUPHORB","FABACEAE","KOENISLD","LAMIACEAE","LARIXPSEU","LILIACEAE","MYRICACX","ONAGRACEAE","OXYRIA","PAPAVERX","PEDICULARI","PICEAX","PINUSX","PLANTAGINX","POACEAE","POLEMONI","POLYGONAX","POPULUS","POTENTILLA","RANUNCUL","RHAMNACEAE","ROSACEAX","RUBIACEAE","RUBUS","RUMEX","SALIX","SANGUI","SCROPHUL","SHEPHERDIA","SXFRAGAX","TAXUS","THALICTRUM","TSUGAX","TSUGHETE","TSUGMERT","URTICACX"
"73",2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"74",8,0,0,1,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,2,0,0,3,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,4,1,0,0,1,0,0,1,0,0,1,0,0,0,0
"75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,5,1,2,0,0,0,0,1,0,0,0,0,0,0,0
"78",11,0,0,1,0,1,0,0,0,0,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,1,4,0,1,0,0,0,1,1,0,3,0,0,1,0,2,0,5,1,2,0,1,0,0,0,1,0,0,0,0,0,0
"79",5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0
"80",3,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"81",4,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,3,0,1,0,0,0,0
"82",1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"83",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",6,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,2,0,2,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0
"85",3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,2,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"86",7,0,0,0,0,1,0,0,0,0,6,0,1,0,0,1,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"87",3,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"88",1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,1,1,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"89",4,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"90",3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
