"","APIACEAE","ASTERX","BETULACEAE","BOTRYCHIUM","BRASSICACEAE","CAMPANULACEA","CANNABACEAE","CAPRIFOLIA","CARYOPHYLL","CHENOAMX","CORNUS","CUPRESSA","CYPERACE","ELAEAGNX","EPHEDRACEAE","ERICACEX","ERICALES","EUPHORB","FABACEAE","FAGACEAE","JUGLANDACEAE","LILIACEAE","MALVACEAE","MORACEAX","MYRICACX","OLEACEAE","ONAGRACEAE","PINACEAE","PLANTAGINX","PLATANACEAE","POACEAE","POLEMONI","POLYGONAX","RANUNCUL","RHAMNACEAE","ROSACEAX","RUBIACEAE","SALICACEAE","SAPINDACEAE","SARCOBATACEAE","SCROPHUL","SXFRAGAX","TAXACEAE","ULMACEAE","URTICACX","VISICACEAE"
"56",0,26,0,0,0,0,0,0,0,36,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"57",7,43,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"58",0,55,0,0,1,0,0,0,0,30,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"59",0,30,0,0,0,0,0,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
"60",0,24,0,0,0,0,0,0,0,41,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
"61",0,47,1,0,0,0,0,0,0,30,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0
"62",10,51,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"63",0,54,0,0,0,0,0,0,1,6,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"64",0,2,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",0,6,84,0,0,0,0,0,0,0,0,28,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,250,0,0,4,0,0,0,0,2,0,3,0,0,0,2,0,0,0,0
"66",0,0,28,0,0,0,0,0,0,0,0,2,14,0,0,2,0,0,0,0,0,0,0,0,0,0,1,546,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"67",0,5,65,0,0,0,0,0,1,0,0,21,30,0,0,8,0,0,0,0,0,0,0,0,0,0,0,413,0,0,31,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"68",0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,367,0,0,1,0,1,8,0,5,0,0,0,0,0,0,0,0,0,0
"69",0,0,199,0,0,0,0,0,0,0,0,19,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,294,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
